,id,title,text,claimDate,reviewDate,claimant,publisher,url,label,found,query,poynter
0,2,,,,,,,,,9,https://lasillavacia.com/detector-moringa-ivermectina-o-matarraton-no-curan-ni-previenen-covid-80077,
1,3,#Verificamos: É falso que vacinas contra Covid-19 causaram a ...,“181 americanos morreram em razão das vacinas contra covid em apenas duas semanas”,2021-02-05T19:21:19Z,2021-02-05T19:21:19Z,Post no Facebook,UOL,https://piaui.folha.uol.com.br/lupa/2021/02/05/verificamos-vacinas-morte-estados-unidos/,Falso,9,https://piaui.folha.uol.com.br/lupa/2021/02/05/verificamos-vacinas-morte-estados-unidos/,1.0
2,4,,Indonesia's GeNose machine has accuracy of 99.9 percent to detect Covid-19 and the results can be obtained in 10 seconds,2021-01-30T00:00:00Z,2021-02-05T08:53:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/social-media-posts-mislead-reliability-indonesias-covid-19-breathalyser-machines,Misleading,9,https://factcheck.afp.com/social-media-posts-mislead-reliability-indonesias-covid-19-breathalyser-machines,1.0
3,5,Videonun Çin'de anal sürüntü testinden çıkan çocukları gösterdiği ...,Videonun Çin'de anal sürüntü testinden çıkan çocukları gösterdiği iddiası,2021-01-30T00:00:00Z,2021-02-05T00:00:00Z,Sosyal Medya,Teyit.org,https://teyit.org/analiz-videonun-cinde-anal-suruntu-testinden-cikan-cocuklari-gosterdigi-iddiasi,Yanlış,9,https://teyit.org/analiz-videonun-cinde-anal-suruntu-testinden-cikan-cocuklari-gosterdigi-iddiasi,1.0
4,6,Doctors administering COVID-19 vaccines aren't guilty of war crimes,"Doctors and nurses who administer the coronavirus vaccine can be ""tried as war criminals.""",2021-02-06T00:00:00Z,,Bloggers,PolitiFact,https://www.politifact.com/factchecks/2021/feb/11/blog-posting/doctors-administering-covid-19-vaccines-arent-guil/,Pants on Fire,9,https://www.politifact.com/factchecks/2021/feb/11/blog-posting/doctors-administering-covid-19-vaccines-arent-guil/,1.0
5,7,Ni el tapabocas hace sumisa a la gente ni es un invento árabe para ...,Árabes descubrieron que cubrir nariz y boca quiebra la individualidad,,2021-02-07T01:47:18Z,,ColombiaCheck,https://colombiacheck.com/index.php/chequeos/ni-el-tapabocas-hace-sumisa-la-gente-ni-es-un-invento-arabe-para-someter-mujeres,Falso,9,https://colombiacheck.com/chequeos/ni-el-tapabocas-hace-sumisa-la-gente-ni-es-un-invento-arabe-para-someter-mujeres,0.0
6,8,,,,,,,,,9,https://piaui.folha.uol.com.br/lupa/2021/02/05/verificamos-rn-estragar-vacina/,
7,9,,,,,,,,,9,https://www.efe.com/efe/espana/efeverifica/la-vacuna-rUnited States-necesita-dos-dosis-y-no-solo-una-como-aseguran-en-redes-sociales/50001435-4458463,
8,10,,La policía hizo un rastreo en un Lidl de Gijón y descubrió a 11 personas positivas en COVID-19 haciendo la compra,,2021-02-05T00:00:00Z,,Maldita.es,https://maldita.es/malditobulo/20210205/policia-descubierto-11-personas-positivas-covid-19-lidl-gijon/,Falso,9,https://maldita.es/malditobulo/20210205/policia-descubierto-11-personas-positivas-covid-19-lidl-gijon/,1.0
9,11,,,,,,,,,9,http://www.mythdetector.ge/en/myth/five-pieces-disinformation-gibraltar-swedish-herd-immunity,
10,12,,,,,,,,,9,http://www.mythdetector.ge/en/myth/information-alleging-futile-vaccines-israel-are-brought-georgia-false,
